Malachite Cu2(OH)2(CO3) Cu(2)C(1)O(5)H(2) min mk -214204.0 -251900.0 44.500 54.860 27.760000 43.780000 -1.340000 780.00 # [1] 05.May.78
Manganosite MnO Mn(1)O(1) min mk -86735.0 -92070.0 14.270 13.221 11.110000 1.940000 -0.880000 1800.00 # [1;6] 05.May.78
Merwinite Ca3Mg(SiO4)2 Ca(3)Mg(1)Si(2)O(8) min mk -1036526.0 -1090796.0 60.500 104.400 72.970000 11.960000 -14.440000 1700.00 # [1;19] 15.Mar.90
Metacinnabar HgS Hg(1)S(1) min mk -10437.0 -11800.0 21.200 30.169 10.520000 3.630000 0.000000 1000.00 # [1] 05.May.78
Microcline K(AlSi3)O8 K(1)Al(1)Si(3)O(8) min mk -895374.0 -949188.0 51.130 108.741 63.830000 12.900000 -17.050000 1400.00 # [1] 05.May.78
Minnesotaite Fe3Si4O10(OH)2 Fe(3)Si(4)O(12)H(2) min mk null null 83.500 147.860 88.310000 42.610000 -11.150000 800.00 # [1] 05.May.78
Molybdenite MoS2 Mo(1)S(2) min mk -62848.0 -64961.8 14.960 32.020 17.135700 1.780000 -2.20140 1200.00 # [G17] 05.Aug.98
Monticellite CaMgSiO4 Ca(1)Mg(1)Si(1)O(4) min mk -512829.0 -540800.0 26.400 51.470 36.820000 5.340000 -8.000000 1400.00 # [1] 05.May.78
Muscovite KAl2(AlSi3)O10(OH)2 K(1)Al(3)Si(3)O(12)H(2) min mk -1336301.0 -1427408.0 68.800 140.710 97.560000 26.380000 -25.440000 1000.00 # [1] 05.May.78
Nepheline Na(AlSi)O4 Na(1)Al(1)Si(1)O(4) min mk -472872.0 -500241.0 29.720 54.160 35.908062 6.457918 -7.327965 1500.00 # [1] 05.May.78
Palladium Pd Pd(1) min mk 0.0 0.0 9.040 8.861 5.730000 1.418000 -0.085000 1800.00 # [G12] 14.Apr.92
Paragonite NaAl2(AlSi3)O10(OH)2 Na(1)Al(3)Si(3)O(12)H(2) min mk -1326012.0 -1416963.0 66.400 132.530 97.430000 24.500000 -26.440000 1000.00 # [1] 05.May.78
Pargasite Na(Ca2Mg4Al)(Al2Si6)O22(OH)2 Na(1)Ca(2)Mg(4)Al(3)Si(6)O(24)H(2) min mk -2846728.0 -3016624.0 160.000 273.500 205.800000 41.660000 -50.210000 1000.00 # [1;19] 15.Mar.90
Periclase MgO Mg(1)O(1) min mk -136086.0 -143800.0 6.440 11.248 10.180000 1.740000 -1.480000 2100.00 # [1] 05.May.78
Phlogopite KMg3(AlSi3)O10(OH)2 K(1)Mg(3)Al(1)Si(3)O(12)H(2) min mk -1396187.0 -1488067.0 76.100 149.660 100.610000 28.780000 -21.500000 1000.00 # [1] 05.May.78
Platinum Pt Pt(1) min mk 0.0 0.0 9.950 9.090 5.830000 1.255000 -0.019000 2000.00 # [G12] 16.Aug.15
Potassium-Oxide K2O K(2)O(1) min mk -77056.0 -86800.0 22.500 40.380 18.510000 8.650000 -0.880000 1100.00 # [1] 05.May.78
Pyrite FeS2 Fe(1)S(2) min mk -38293.0 -41000.0 12.650 23.940 17.880000 1.320000 -3.050000 1000.00 # [1] 05.May.78
Pyrophyllite Al2Si4O10(OH)2 Al(2)Si(4)O(12)H(2) min mk -1255997.0 -1345313.0 57.200 126.600 79.432000 39.214000 -17.282000 800.00 # [1] 05.May.78
Pd(OH)2 Pd(OH)2 Pd(1)O(2)H(2) min mk -72000.0 -92100.0 21.700 28.380 17.750000 10.080000 -0.273000 1000.00 # [G12] 09.Apr.92
Pd4S Pd4S Pd(4)S(1) min mk -16300.0 -16500.0 43.180 44.030 24.000000 11.660000 0.000000 1000.00 # [G12] 16.Aug.15
PdO PdO Pd(1)O(1) min mk -14330.0 -20400.0 13.200 14.680 10.753000 1.844000 -0.273000 1143.00 # [G12] 09.Apr.92
Vysotskite PdS Pd(1)S(1) min mk -16000.0 -16900.0 13.500 20.650 9.970000 4.110000 -0.730000 1245.00 # [G12] 30.Mar.95
Cooperite PtS Pt(1)S(1) min mk -18600.0 -19900.0 13.160 22.150 9.970000 4.110000 -0.730000 1500.00 # [G12] 09.Apr.92
PtS2 PtS2 Pt(1)S(2) min mk -24200.0 -26400.0 17.850 32.750 16.390000 3.770000 -1.570000 1500.00 # [G12] 16.Aug.15
Rhodium Rh Rh(1) min mk 0.0 0.0 7.530 8.281 5.730000 1.895000 -0.333000 1800.00 # [G12] 14.Apr.92
Rhodochrosite MnCO3 Mn(1)C(1)O(3) min mk -195045.0 -212521.0 23.900 31.075 21.990000 9.300000 -4.690000 700.00 # [1] 05.May.78
Richterite Na2(CaMg5)Si8O22(OH)2 Na(2)Ca(1)Mg(5)Si(8)O(24)H(2) min mk null null 137.600 272.800 194.800000 61.100000 -46.150000 800.00 # [1] 05.May.78
Romarchite SnO Sn(1)O(1) min mk -61459.0 -68340.0 13.660 20.895 9.550000 3.500000 0.000000 1237.00 # [12] 05.May.78
Ruthenium Ru Ru(1) min mk 0.0 0.0 6.820 8.175 5.000000 1.696000 0.223000 1400.00 # [G12] 14.Apr.92
Rutile TiO2 Ti(1)O(2) min mk -212883.0 -226101.0 12.020 18.820 15.014420 2.720501 -2.365364 1800.00 # [7;9] 31.Mar.92
Rh2O RhO2 Rh(2)O(1) min mk -19100.0 -22700.0 27.400 0.000 15.590000 6.470000 0.000000 1273.00 # [G12] 09.Apr.92
Rh2O3 Rh2O3 Rh(2)O(3) min mk -48300.0 -68300.0 21.530 31.370 20.740000 13.800000 0.001100 1300.00 # [G12] 09.Apr.92
RuO2 RuO2 Ru(1)O(2) min mk -60490.0 -73420.0 12.500 19.050 16.700000 2.500000 -3.550000 1300.00 # [G12] 09.Apr.92
Sanidine K(AlSi3)O8 K(1)Al(1)Si(3)O(8) min mk -893738.0 -946538.0 54.530 109.008 63.830000 12.900000 -17.050000 1400.00 # [1] 05.May.78
Sepiolite Mg4Si6O15(OH)2(H2O)2(H2O)4 Mg(4)Si(6)O(23)H(14) min mk -2211192.0 -2418000.0 146.600 285.600 157.920000 104.300000 -18.680000 800.00 # [1] 05.May.78
Siderite FeCO3 Fe(1)C(1)O(3) min mk -162414.0 -179173.0 25.100 29.378 11.630000 26.800000 0.000000 885.00 # [1;13] 05.May.78
Sillimanite Al2SiO5 Al(2)Si(1)O(5) min mk -580091.0 -615099.0 23.130 49.900 40.023988 7.390511 -11.674053 1200.00 # [1] 05.May.78
Silver Ag Ag(1) min mk 0.0 0.0 10.170 10.272 5.090000 2.040000 0.360000 1234.00 # [1] 05.May.78
Smithsonite ZnCO3 Zn(1)C(1)O(3) min mk -174850.0 -194260.0 19.700 28.275 9.300000 33.000000 0.000000 780.00 # [1] 05.May.78
Sodium-Oxide Na2O Na(2)O(1) min mk -89883.0 -99140.0 17.935 25.000 18.250000 4.890000 -2.890000 1000.00 # [1] 05.May.78
Sphalerite ZnS Zn(1)S(1) min mk -47947.0 -49000.0 14.019 23.830 11.770000 1.260000 -1.160000 1300.00 # [1] 05.May.78
Spinel MgAl2O4 Mg(1)Al(2)O(4) min mk -517006.0 -546847.0 19.270 39.710 36.772808 6.415456 -9.708792 2000.00 # [1] 05.May.78
Staurolite Fe2Al9Si4O23(OH) Fe(2)Al(9)Si(4)O(24)H(1) min mk null null 117.100 224.400 207.120000 36.940000 -57.220000 1000.00 # [1] 05.May.78
Strontianite SrCO3 Sr(1)C(1)O(3) min mk -275470.0 -294600.0 23.200 39.010 23.520000 6.320000 -5.080000 1197.00 # [1] 05.May.78
Sylvite KCl K(1)Cl(1) min mk -97735.0 -104370.0 19.730 37.524 9.890000 5.200000 0.770000 1043.00 # [1] 05.May.78
Talc Mg3Si4O10(OH)2 Mg(3)Si(4)O(12)H(2) min mk -1320188.0 -1410920.0 62.340 136.250 82.482000 41.614000 -13.342000 800.00 # [1] 05.May.78
Tenorite CuO Cu(1)O(1) min mk -30568.0 -37200.0 10.180 12.220 11.530000 1.880000 -1.760000 1600.00 # [1] 05.May.78
Titanite CaTiSiO5 Ca(1)Ti(1)Si(1)O(5) min mk -587349.0 -621180.0 30.880 55.650 42.234220 5.703951 -9.525038 1800.00 # [7;9;19] 31.Mar.92
Tremolite (Ca2Mg5)Si8O22(OH)2 Ca(2)Mg(5)Si(8)O(24)H(2) min mk -2770245.0 -2944038.0 131.190 272.920 188.222000 57.294000 -44.822000 800.00 # [1;19] 15.Mar.90
Uraninite UO2 U(1)O(2) min mk -246610. -259320. 18.40 24.638 15.0033 7.586 -1.83867 600.0 # [G11] 08.Sep.94
PdS2 PdS2 Pd(1)S(2) min mk -17700.0 -18700.0 21.000 34.300 16.390000 3.770000 -1.570000 1245.00 # [G12] 30.Mar.95
Wairakite Ca(Al2Si4)O12(H2O)2 Ca(1)Al(2)Si(4)O(14)H(4) min mk -1477432.0 -1579333.0 105.100 186.870 100.400000 44.470000 -16.430000 1000.00 # [1;19] 15.Mar.90
Wollastonite CaSiO3 Ca(1)Si(1)O(3) min mk -369225.0 -389590.0 19.600 39.930 26.640000 3.600000 -6.520000 1400.00 # [1;19] 15.Mar.90
Wurtzite ZnS Zn(1)S(1) min mk -44810.0 -45850.0 14.064 23.846 11.820000 1.160000 -1.040000 1300.00 # [1] 05.May.78
Zincite ZnO Zn(1)O(1) min mk -76596.0 -83762.0 10.430 14.338 11.710000 1.220000 -2.180000 2000.00 # [G9A] 05.May.78
Zoisite Ca2Al3Si3O12(OH) Ca(2)Al(3)Si(3)O(13)H(1) min mk -1549179.0 -1643691.0 70.740 135.900 106.118000 25.214000 -27.145000 700.00 # [1;19] 15.Mar.90
[Ala](cr) CH3 C(1)H(3) min mk -2311. -13270. 11.47 14.55 -3.052 52.89 0. null # [PC4] 25.May.11
